TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY
Opuntia fragilis,Opuntia fragilis,NA,N,Y,,Y,G5,N5,,24,22,2,14,14,0,Prickly-pear cactus,Opuntia,NA,NA,,Y,Food,,NA,Fruit,Vegetables,,NA,NA,NA
Opuntia polyacantha,Opuntia polyacantha,NA,N,Y,Y,N,G5,N5,,19,12,7,6,6,0,Prickly-pear cactus,Opuntia,NA,NA,,Y,Food,,NA,Fruit,Vegetables,,NA,NA,NA
Opuntia polyacantha var. polyacantha,Opuntia polyacantha,NA,N,Y,Y,Y,T5,N5,,19,12,7,6,6,0,Prickly-pear cactus,Opuntia,var.,polyacantha,,Y,Food,,NA,Fruit,Vegetables,,NA,NA,NA
Ostrya virginiana,Ostrya virginiana,2,Y,N,,Y,T5,N5,,141,109,32,98,76,22,Ironwood,Ostrya,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Oxybasis rubra,Oxybasis rubra,1,Y,N,,N,G5,N5,,1,0,1,0,0,0,Quinoa,Oxybasis,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Oxybasis rubra var. humilis,Oxybasis rubra,1,Y,N,,Y,G5,N4,,1,0,1,0,0,0,Quinoa,Oxybasis,var.,humilis,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Oxybasis rubra var. rubra,Oxybasis rubra,1,Y,N,,Y,G5,N5,,1,0,1,0,0,0,Quinoa,Oxybasis,var.,rubra,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Panax quinquefolius,Panax quinquefolius,NA,N,Y,,Y,G3,N2,E - Endangered (E) / En voie de disparition (VD),2,1,1,0,0,0,Ginseng,Panax,NA,NA,roots as tea,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Panax trifolius,Panax trifolius,NA,N,Y,,Y,G5,N4,,0,0,0,0,0,0,Ginseng,Panax,NA,NA,roots as tea,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Panicum capillare,Panicum capillare,1,Y,N,,Y,G5,N5,,1,0,1,0,0,0,Proso-millet,Panicum,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Probable progenitor,1A
Panicum dichotomiflorum,Panicum dichotomiflorum,1,Y,N,Y,N,G5,N5,,2,0,2,0,0,0,Proso-millet,Panicum,NA,NA,,N,Food,,Na,Cereals and pseudocereals,,,NA,Assume distant,1C
Panicum dichotomiflorum subsp. dichotomiflorum,Panicum dichotomiflorum,1,Y,N,Y,Y,T5,N5,,2,0,2,0,0,0,Proso-millet,Panicum,subsp.,dichotomiflorum,,N,Food,,Na,Cereals and pseudocereals,,,NA,Assume distant,1C
Panicum philadelphicum,Panicum philadelphicum,1,Y,N,,Y,G5,NNR,,0,0,0,0,0,0,Proso-millet,Panicum,NA,NA,,Y,Food,,Na,Cereals and pseudocereals,,,NA,Assume distant,1C
Panicum virgatum,Panicum virgatum,2,Y,N,,Y,G5,N4,,574,46,528,7,2,5,Proso-millet,Panicum,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,NA,2
Pascopyrum smithii,Pascopyrum smithii,1,Y,N,,Y,G5,N5,,90,0,90,0,0,0,Wheat,Pascopyrum,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Phalaris arundinacea,Phalaris arundinacea,2,Y,N,,N,G5,N5,,184,5,179,0,0,0,Canary Grass,Phalaris,NA,NA,,Y,Food,,NA,Forage and Feed,Restoration,,NA,NA,2
Philadelphus lewisii,Philadelphus lewisii,NA,N,Y,,N,G5,N5,,55,41,14,23,23,0,Mock-orange,Philadelphus,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Philadelphus lewisii var. lewisii,Philadelphus lewisii,NA,N,Y,,Y,TNR,NNR,,55,41,14,0,0,0,Mock-orange,Philadelphus,var.,lewisii,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Phleum alpinum,Phleum alpinum,2,Y,N,,Y,G5,N5,,28,0,28,0,0,0,Timothy,Phleum,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Physalis heterophylla,Physalis heterophylla,1,Y,Y,,Y,G5,N4,,2,1,1,1,1,0,Tomatillo,Physalis,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant,1C
Physalis longifolia,Physalis longifolia,1,Y,N,Y,N,G5,N4,,0,0,0,0,0,0,Tomatillo,Physalis,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant,1C
Physalis longifolia var. subglabrata,Physalis longifolia,1,Y,N,Y,Y,T4,N4,,0,0,0,0,0,0,Tomatillo,Physalis,var.,subglabrata,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant,1C
Physalis virginiana,Physalis virginiana,1,Y,Y,,Y,G5,N4,,1,0,1,0,0,0,Tomatillo,Physalis,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant,1C
Physaria arctica,Physaria arctica,NA,N,N,,Y,G4,N4,,4,4,0,2,2,0,Lesquerella,Physaria,NA,NA,,Y,Food,,NA,Oils,,,NA,NA,NA
Physaria douglasii,Physaria douglasii,NA,N,N,Y,N,G5,N5,,2,0,2,0,0,0,Lesquerella,Physaria,NA,NA,,Y,Food,,NA,Oils,,,NA,NA,NA
Physaria douglasii subsp. douglasii,Physaria douglasii,NA,N,N,Y,Y,T5,N3,,2,0,2,0,0,0,Lesquerella,Physaria,subsp.,douglasii,,Y,Food,,NA,Oils,,,NA,NA,NA
Physaria spatulata,Physaria spatulata,NA,N,N,,Y,GNR,N3,,0,0,0,0,0,0,Lesquerella,Physaria,NA,NA,,Y,Food,,NA,Oils,,,NA,NA,NA
Picea engelmannii,Picea engelmannii,2,Y,Y,Y,N,G5,N5,,22,5,17,15,1,14,Spruce,Picea,NA,NA,"gum, needles, inner bark",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Picea engelmannii var. engelmannii,Picea engelmannii,2,Y,Y,Y,Y,T5,N5,,22,5,17,15,1,14,Spruce,Picea,var.,engelmannii,"gum, needles, inner bark",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Picea glauca,Picea glauca,2,Y,Y,,Y,G5,N5,,2374,890,1484,1499,26,1473,Spruce,Picea,NA,NA,"gum, tea, sap",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Picea mariana,Picea mariana,2,Y,Y,,Y,G5,N5,,449,39,410,420,14,406,Spruce,Picea,NA,NA,"needles, gum, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Picea rubens,Picea rubens,2,Y,Y,,Y,G5,N5,,208,25,183,181,0,181,Spruce,Picea,NA,NA,"needles, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Picea sitchensis,Picea sitchensis,2,Y,Y,,Y,G5,N5,,56,25,31,47,18,29,Spruce,Picea,NA,NA,"gum, inner bark",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus albicaulis,Pinus albicaulis,2,Y,Y,,Y,G3,N3,E - Endangered (E) / En voie de disparition (VD),1140,1,1139,8,0,8,Pine,Pinus,NA,NA,"seeds, inner bark",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus banksiana,Pinus banksiana,2,Y,N,,Y,G5,N5,,1051,51,1000,1005,14,991,Pine,Pinus,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus contorta,Pinus contorta,2,Y,Y,Y,N,G5,N5,,160,37,123,132,17,115,Pine,Pinus,NA,NA,"seeds, inner bark, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus contorta var. contorta,Pinus contorta,2,Y,Y,Y,Y,T5,NNR,,160,37,123,21,13,8,Pine,Pinus,var.,contorta,"seeds, inner bark, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus contorta var. latifolia,Pinus contorta,2,Y,Y,Y,Y,T5,N5,,160,37,123,111,4,107,Pine,Pinus,var.,latifolia,"seeds, inner bark, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus contorta var. yukonensis,Pinus contorta,2,Y,Y,Y,Y,T3,N3,,160,37,123,0,0,0,Pine,Pinus,var.,yukonensis,"seeds, inner bark, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus flexilis,Pinus flexilis,2,Y,N,,Y,G4,N3,E - Endangered (E) / En voie de disparition (VD),478,3,475,2,0,2,Pine,Pinus,NA,NA,,Y,Forest Resources,Ornamentals,NA,Forest Resources,Ornamentals,,NA,NA,2
Pinus monticola,Pinus monticola,2,Y,N,,Y,G4,N4,,164,3,161,9,0,9,Pine,Pinus,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus ponderosa,Pinus ponderosa,2,Y,Y,N,N,G5,NNR,,438,15,423,14,1,13,Pine,Pinus,NA,NA,"needles, seeds, inner bark",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus ponderosa var. ponderosa,Pinus ponderosa,2,Y,Y,N,Y,T5,N4,,438,15,423,NA,NA,NA,Pine,Pinus,var.,ponderosa,"needles, seeds, inner bark",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus ponderosa var. scopulorum,Pinus ponderosa,2,Y,Y,N,Y,T5,N5,,438,15,423,NA,NA,NA,Pine,Pinus,var.,scopulorum,"needles, seeds, inner bark",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus resinosa,Pinus resinosa,2,Y,N,,Y,G5,N5,,380,227,153,149,5,144,Pine,Pinus,NA,NA,,Y,Forest Resources,Ornamentals,NA,Forest Resources,Ornamentals,,NA,NA,2
Pinus rigida,Pinus rigida,2,Y,N,,Y,G5,N2,,47,9,38,27,2,25,Pine,Pinus,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pinus strobus,Pinus strobus,2,Y,Y,,Y,G5,N5,,1474,1195,279,543,288,255,Pine,Pinus,NA,NA,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Plantago maritima,Plantago maritima,NA,N,Y,,Y,G5,N5,,8,3,5,3,2,1,Plantago,Plantago,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Platanus occidentalis,Platanus occidentalis,2,Y,N,,Y,G5,N4,,41,34,7,14,12,2,Sycamore,Platanus,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Poa abbreviata,Poa abbreviata,2,Y,N,Y,N,G5,N5,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa abbreviata subsp. abbreviata,Poa abbreviata,2,Y,N,Y,Y,T5,N5,,0,0,0,0,0,0,Bluegrass,Poa,subsp.,abbreviata,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa abbreviata subsp. pattersonii,Poa abbreviata,2,Y,N,Y,Y,T5,N3,,0,0,0,0,0,0,Bluegrass,Poa,subsp.,pattersonii,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa alpina,Poa alpina,2,Y,N,N,N,G5,N5,,112,2,110,30,0,30,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa alpina subsp. alpina,Poa alpina,2,Y,N,N,Y,T5,N5,,112,2,110,NA,NA,NA,Bluegrass,Poa,subsp.,alpina,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa alpina subsp. vivipara,Poa alpina,2,Y,N,N,Y,TNR,NNA,,112,2,110,NA,NA,NA,Bluegrass,Poa,subsp.,vivipara,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa alsodes,Poa alsodes,2,Y,N,,Y,G4,N4,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa arctica,Poa arctica,2,Y,N,N,N,G5,N5,,113,0,113,67,0,67,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa arctica subsp. arctica,Poa arctica,2,Y,N,N,Y,T5,N5,,113,0,113,NA,NA,NA,Bluegrass,Poa,subsp.,arctica,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa arctica subsp. caespitans,Poa arctica,2,Y,N,N,Y,G5,NNR,,113,0,113,NA,NA,NA,Bluegrass,Poa,subsp.,caespitans,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa arctica subsp. lanata,Poa arctica,2,Y,N,N,Y,T5,N5,,113,0,113,NA,NA,NA,Bluegrass,Poa,subsp.,lanata,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa arida,Poa arida,2,Y,N,,Y,G5,N4,,1,0,1,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa confinis,Poa confinis,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa cusickii,Poa cusickii,2,Y,N,Y,N,G5,N5,,2,0,2,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa cusickii subsp. pallida,Poa cusickii,2,Y,N,Y,Y,T4,N4,,2,0,2,0,0,0,Bluegrass,Poa,subsp.,pallida,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa cusickii subsp. purpurascens,Poa cusickii,2,Y,N,Y,Y,T4,N4,,2,0,2,0,0,0,Bluegrass,Poa,subsp.,purpurascens,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa gaspensis,Poa gaspensis,2,Y,N,,Y,G4,NNA,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa glauca,Poa glauca,2,Y,N,N,N,G5,N5,,106,0,106,62,0,62,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa glauca subsp. glauca,Poa glauca,2,Y,N,N,Y,T5,N5,,106,0,106,NA,NA,NA,Bluegrass,Poa,subsp.,glauca,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa glauca subsp. rupicola,Poa glauca,2,Y,N,N,Y,T5,N5,,106,0,106,NA,NA,NA,Bluegrass,Poa,subsp.,rupicola,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa hartzii,Poa hartzii,2,Y,N,,Y,G3,NNR,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa howellii,Poa howellii,2,Y,N,,Y,G4,N4,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa humilis,Poa humilis,2,Y,N,,Y,NA,NA,,7,0,7,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa juncifolia,Poa juncifolia,2,Y,N,,Y,GNR,NNR,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa leptocoma,Poa leptocoma,2,Y,N,,Y,G5,NNR,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa lettermanii,Poa lettermanii,2,Y,N,,Y,G4,N5,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa macrantha,Poa macrantha,2,Y,N,,Y,G5,N5,,2,0,2,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa marcida,Poa marcida,2,Y,N,,Y,G4,N5,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa nemoralis,Poa nemoralis,2,Y,N,,Y,TU,NNA,,59,0,59,0,0,0,Bluegrass,Poa,NA,NA,,N,Food,,NA,Forage and Feed,,,NA,NA,2
Poa palustris,Poa palustris,2,Y,N,,Y,G5,N5,,28,0,28,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa pratensis,Poa pratensis,2,Y,N,N,N,G5,N5,,957,1,956,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa pratensis subsp. agassizensis,Poa pratensis,2,Y,N,N,Y,TNR,NNR,,957,1,956,NA,NA,NA,Bluegrass,Poa,subsp.,agassizensis,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa pratensis subsp. alpigena,Poa pratensis,2,Y,N,N,Y,T5,N5,,957,1,956,NA,NA,NA,Bluegrass,Poa,subsp.,alpigena,,N,Food,,NA,Forage and Feed,,,NA,NA,2
Poa pratensis subsp. pratensis,Poa pratensis,2,Y,N,N,Y,T5,N5,,957,1,956,NA,NA,NA,Bluegrass,Poa,subsp.,pratensis,,N,Food,,NA,Forage and Feed,,,NA,NA,2
Poa saltuensis,Poa saltuensis,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa secunda,Poa secunda,2,Y,N,Y,N,G5,N5,,240,0,240,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa secunda subsp. secunda,Poa secunda,2,Y,N,Y,Y,T5,N5,,240,0,240,0,0,0,Bluegrass,Poa,subsp.,secunda,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa stenantha,Poa stenantha,2,Y,N,,Y,G5,N5,,1,0,1,0,0,0,Bluegrass,Poa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Poa trivialis,Poa trivialis,2,Y,N,,Y,GNR,NNA,,46,0,46,0,0,0,Bluegrass,Poa,NA,NA,,N,Food,,NA,Forage and Feed,,,NA,NA,2
Podophyllum peltatum,Podophyllum peltatum,NA,N,Y,,Y,G5,N5,,19,17,2,2,2,0,Mayapple,Podophyllum,NA,NA,Mayapple; fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Populus angustifolia,Populus angustifolia,2,Y,N,,Y,G5,N3,,0,0,0,0,0,0,Poplar,Populus,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Populus balsamifera,Populus balsamifera,2,Y,Y,,Y,G5,NNR,,74,14,60,66,7,59,Poplar,Populus,NA,NA,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Populus deltoides,Populus deltoides,2,Y,Y,N,N,G5,N5,,14,9,5,2,2,0,Poplar,Populus,NA,NA,"buds, fruit",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Populus deltoides subsp. deltoides,Populus deltoides,2,Y,Y,N,Y,T5,N5,,14,9,5,NA,NA,NA,Poplar,Populus,subsp.,deltoides,"buds, fruit",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Populus deltoides subsp. monilifera,Populus deltoides,2,Y,Y,N,Y,T5,N5,,14,9,5,NA,NA,NA,Poplar,Populus,subsp.,monilifera,"buds, fruit",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Populus grandidentata,Populus grandidentata,2,Y,Y,,Y,G5,N5,,77,14,63,70,9,61,Poplar,Populus,NA,NA,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Populus tremuloides,Populus tremuloides,2,Y,Y,,Y,G5,N5,,175,97,78,132,57,75,Poplar,Populus,NA,NA,"bark, tea",Y,Forest Resources,Medicinals,NA,Forest Resources,Medicinals,,NA,NA,2
Populus trichocarpa,Populus trichocarpa,2,Y,Y,,Y,T5,N5,,5,4,1,5,4,1,Poplar,Populus,NA,NA,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Potentilla anserina,Potentilla anserina,NA,N,Y,Y,N,G5,NNR,,2,0,2,0,0,0,Potentilla,Potentilla,NA,NA,,Y,Medicinals,Medicinals,NA,Vegetables,Medicinals,,NA,NA,NA
Potentilla anserina subsp. anserina,Potentilla anserina,NA,N,Y,Y,Y,T5,N5,,2,0,2,0,0,0,Potentilla,Potentilla,subsp.,anserina,,Y,Medicinals,Medicinals,NA,Vegetables,Medicinals,,NA,NA,NA
Potentilla anserina subsp. groenlandica,Potentilla anserina,NA,N,Y,Y,Y,T4,NNR,,2,0,2,0,0,0,Potentilla,Potentilla,subsp.,groenlandica,,Y,Medicinals,Medicinals,NA,Vegetables,Medicinals,,NA,NA,NA
Prunella vulgaris,Prunella vulgaris,2,N,Y,N,N,G5,N5,,61,5,56,1,0,1,Heal-All,Prunella,NA,NA,flowers and leaves as tea,Y,Medicinals,,NA,Medicinals,,,NA,NA,2
Prunella vulgaris subsp. lanceolata,Prunella vulgaris,NA,N,Y,N,Y,T5,N5,,61,5,56,NA,NA,NA,Heal-All,Prunella,subsp.,lanceolata,flowers and leaves as tea,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Prunella vulgaris subsp. vulgaris,Prunella vulgaris,NA,N,Y,N,Y,TU,NNA,,61,5,56,NA,NA,NA,Heal-All,Prunella,subsp.,vulgaris,flowers and leaves as tea,N,Medicinals,,NA,Medicinals,,,NA,NA,NA
Prunus americana,Prunus americana,1,Y,Y,,Y,G5,N4,,97,81,16,69,69,0,"Apricot, Cherry, Peach, Plum",Prunus,NA,NA,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor,1A
Prunus emarginata,Prunus emarginata,1,Y,N,,Y,G5,N5,,25,4,21,2,2,0,"Apricot, Cherry, Peach, Plum",Prunus,NA,NA,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Secondary,1A
Prunus nigra,Prunus nigra,1,Y,Y,,Y,G4,N4,,16,11,5,9,8,1,"Apricot, Cherry, Peach, Plum",Prunus,NA,NA,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Secondary,1B
Prunus pensylvanica,Prunus pensylvanica,1,Y,Y,,Y,G5,N5,,127,69,58,106,63,43,"Apricot, Cherry, Peach, Plum",Prunus,NA,NA,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor,1A
Prunus pumila,Prunus pumila,1,Y,N,Y,N,G5,N5,,44,26,18,24,22,2,"Apricot, Cherry, Peach, Plum",Prunus,NA,NA,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor,1A
Prunus pumila var. besseyi,Prunus pumila,1,Y,N,Y,Y,T4,N4,,44,26,18,0,0,0,"Apricot, Cherry, Peach, Plum",Prunus,var.,besseyi,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor,1A
Prunus pumila var. depressa,Prunus pumila,1,Y,N,Y,Y,T5,N4,,44,26,18,9,8,1,"Apricot, Cherry, Peach, Plum",Prunus,var.,depressa,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor,1A
Prunus pumila var. pumila,Prunus pumila,1,Y,N,Y,Y,T4,N3,,44,26,18,1,0,1,"Apricot, Cherry, Peach, Plum",Prunus,var.,pumila,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor,1A
Prunus pumila var. susquehanae,Prunus pumila,1,Y,N,Y,Y,T4,N4,,44,26,18,14,14,0,"Apricot, Cherry, Peach, Plum",Prunus,var.,susquehanae,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor,1A
Prunus serotina,Prunus serotina,1,Y,Y,Y,N,G5,N5,,231,179,52,152,117,35,"Apricot, Cherry, Peach, Plum",Prunus,NA,NA,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary,1C
Prunus serotina var. serotina,Prunus serotina,1,Y,Y,Y,Y,T5,N5,,231,179,52,152,117,35,"Apricot, Cherry, Peach, Plum",Prunus,var.,serotina,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary,1C
Prunus virginiana,Prunus virginiana,1,Y,Y,N,N,G5,N5,,340,90,250,282,66,216,"Apricot, Cherry, Peach, Plum",Prunus,NA,NA,"fruit, bark as tea",Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary,1C
Prunus virginiana var. demissa,Prunus virginiana,1,Y,Y,N,Y,T5,NNR,,340,90,250,NA,NA,NA,"Apricot, Cherry, Peach, Plum",Prunus,var.,demissa,"fruit, bark as tea",Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary,1C
Prunus virginiana var. virginiana,Prunus virginiana,1,Y,Y,N,Y,T5,N5,,340,90,250,NA,NA,NA,"Apricot, Cherry, Peach, Plum",Prunus,var.,virginiana,"fruit, bark as tea",Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary,1C
Pseudoroegneria spicata,Pseudoroegneria spicata,1,Y,N,,Y,G5,N5,,274,0,274,2,0,2,Wheat,Pseudoroegneria,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Pseudotsuga menziesii,Pseudotsuga menziesii,2,Y,Y,N,N,G5,N5,,161,115,46,41,4,37,Douglas fir,Pseudotsuga,NA,NA,"needles, sugar, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pseudotsuga menziesii var. glauca,Pseudotsuga menziesii,2,Y,Y,N,Y,T5,N5,,161,115,46,NA,NA,NA,Douglas fir,Pseudotsuga,var.,glauca,"needles, sugar, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Pseudotsuga menziesii var. menziesii,Pseudotsuga menziesii,2,Y,Y,N,Y,T5,N5,,161,115,46,NA,NA,NA,Douglas fir,Pseudotsuga,var.,menziesii,"needles, sugar, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Ptelea trifoliata,Ptelea trifoliata,2,Y,N,Y,N,G5,N3,,66,57,9,45,40,5,Hop-tree,Ptelea,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Ptelea trifoliata subsp. trifoliata,Ptelea trifoliata,2,Y,N,Y,Y,NA,NA,,66,57,9,45,40,5,Hop-tree,Ptelea,var.,trifoliata,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Pycnanthemum virginianum,Pycnanthemum virginianum,NA,N,Y,,Y,G5,N4,,21,8,13,2,2,0,Mountain-mint,Pycnanthemum,NA,NA,condiment,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
